月份,項目,金額,數量,比率,來源,單位,客戶,耗時分鐘
0718,前段,87.74,108,70.45,,研發,東昇,70
0627,完成,88.53,,93.19,,研發,捷欣,179
6月20日,前段,55.55,,55.67,,資材,力鋼,167
2026/7/29,完成,11.19,146,30.86,待確認,研發,力鋼,92
0603,完成,85.02,28,42.05,待確認,品保,捷欣,163
0730,完成,68.73,,90.08,待確認,營運,永利,136
2026/7/2,完成,29.37,52,93.47,已回報,營運,大宏,157
6月22日,完成,70.79,6,87.86,待確認,資材,大宏,239
0712,中段,39.18,100,48.16,,製造,順發,65
6月20日,前段,69.01,,64.94,待確認,製造,永利,33
6月26日,後段,87.6,209,91.89,已回報,品保,順發,160
7月28日,前段,22.64,140,30.82,已回報,研發,順發,169
2026/7/14,後段,52.34,91,60.22,待確認,資材,順發,47
7月30日,前段,47.65,169,53.98,,品保,永利,185
6月25日,後段,76.12,,94.5,,資材,力鋼,169
0616,中段,19.2,34,83.17,,資材,力鋼,196
2026/6/4,後段,8.8,156,20.14,待確認,研發,捷欣,9
6月25日,中段,79.14,,37.15,已回報,研發,大宏,31
2026/6/2,後段,2.19,37,70.93,,資材,東昇,11
0703,前段,82.77,132,45.73,,製造,順發,63
2026/6/26,完成,23.57,106,8.16,待確認,品保,東昇,224
0607,完成,25.58,,54.44,待確認,營運,永利,32
0615,後段,6.79,199,78.15,,製造,捷欣,16
2026/7/26,後段,27.09,50,96.98,,製造,永利,205
2026/6/1,後段,89.72,231,36.84,,品保,捷欣,205
7月19日,中段,78.57,22,58.73,,製造,東昇,215
0614,中段,21.54,,12.03,,品保,順發,136
6月1日,前段,63.94,236,32.17,,研發,東昇,191
2026/7/26,後段,65.65,7,68.24,,製造,力鋼,108
2026/7/30,後段,82.32,218,14.13,,營運,東昇,37
0710,後段,20.3,9,34.05,,營運,力鋼,139
0702,完成,80.0,192,72.6,,營運,順發,56
0704,完成,36.53,73,44.25,待確認,製造,捷欣,184
0618,完成,61.35,85,51.84,待確認,研發,順發,152
0609,完成,76.13,148,44.56,,資材,東昇,50
6月4日,完成,78.15,41,41.16,,營運,捷欣,206
7月9日,後段,78.06,19,18.93,待確認,研發,東昇,48
0727,完成,68.79,119,62.51,已回報,品保,捷欣,184
0713,完成,2.24,,18.17,已回報,品保,捷欣,120
7月20日,前段,5.13,,89.83,已回報,品保,東昇,143
2026/7/25,前段,95.88,223,34.92,待確認,研發,東昇,91
2026/6/29,前段,75.4,,38.49,,研發,捷欣,153
2026/7/8,完成,25.41,127,16.34,,研發,力鋼,182
0727,完成,79.87,63,96.71,,研發,東昇,15
7月16日,中段,88.72,,30.33,,資材,力鋼,108
2026/6/3,後段,29.05,95,29.47,已回報,研發,力鋼,223
0622,中段,14.26,188,26.51,,製造,力鋼,126
2026/7/6,中段,29.87,165,18.97,,品保,大宏,170
2026/6/12,前段,97.09,33,78.33,已回報,品保,永利,234
0627,前段,42.18,221,33.89,已回報,資材,順發,152
7月12日,後段,30.94,,31.12,,研發,捷欣,128
2026/7/17,後段,5.85,,62.89,已回報,營運,順發,5
7月6日,後段,3.71,109,60.54,,資材,捷欣,230
2026/6/16,前段,43.51,4,83.19,待確認,製造,捷欣,202
0620,前段,92.96,101,8.19,已回報,營運,大宏,147
2026/6/29,前段,47.49,115,33.86,,研發,大宏,88
2026/7/13,後段,82.45,156,71.35,,營運,永利,96
0614,後段,28.73,62,26.92,,製造,捷欣,222
0711,完成,90.66,188,38.18,已回報,營運,永利,199
7月27日,完成,91.72,186,11.57,已回報,營運,永利,137
2026/7/23,後段,17.64,,89.1,,研發,大宏,1
2026/7/27,前段,83.06,174,95.31,已回報,資材,力鋼,96
6月9日,中段,12.7,132,65.17,待確認,製造,力鋼,54
0601,前段,10.2,,9.28,待確認,營運,東昇,102
7月20日,中段,81.33,,2.76,待確認,品保,力鋼,148
2026/7/19,中段,32.33,37,16.82,,營運,東昇,62
2026/7/20,前段,9.98,,43.54,,品保,大宏,180
6月28日,後段,9.74,,27.49,,品保,順發,106
0625,中段,51.45,191,53.73,,品保,順發,190
2026/7/27,完成,62.34,,80.38,,營運,順發,123
0728,完成,78.51,,54.25,待確認,製造,永利,60
2026/7/9,中段,8.0,104,64.57,,製造,力鋼,204
0722,完成,37.27,234,89.36,已回報,品保,捷欣,177
2026/6/2,完成,82.63,182,35.17,已回報,製造,力鋼,35
6月7日,前段,46.48,163,7.85,,製造,東昇,43
7月2日,完成,97.49,,22.08,已回報,營運,捷欣,225
0620,後段,95.62,176,93.42,,品保,力鋼,191
2026/6/20,完成,68.52,59,54.45,待確認,營運,捷欣,21
6月7日,完成,51.52,36,42.16,,製造,順發,42
2026/7/17,完成,49.09,,1.74,,研發,捷欣,4
7月29日,前段,82.09,,59.45,待確認,研發,永利,69
7月5日,後段,81.07,,58.53,,品保,永利,96
2026/7/2,後段,54.78,143,51.11,已回報,品保,大宏,187
6月18日,後段,25.09,,46.38,待確認,品保,大宏,100
0611,完成,38.95,,46.04,已回報,資材,大宏,127
6月28日,後段,71.99,,86.99,已回報,資材,大宏,196
0604,中段,48.65,224,49.58,,製造,順發,62
7月23日,完成,19.96,225,39.59,已回報,品保,大宏,195
0717,完成,21.7,163,84.26,,品保,大宏,131
0720,中段,33.26,18,47.9,待確認,資材,力鋼,160
0707,前段,2.81,74,81.42,,製造,永利,121
0724,完成,9.86,235,29.24,,製造,力鋼,41
0606,完成,92.79,78,10.82,已回報,營運,力鋼,97
2026/6/2,完成,11.27,,30.34,,製造,大宏,120
0709,完成,25.77,62,60.93,已回報,研發,大宏,109
2026/6/25,後段,54.94,192,0.2,已回報,製造,順發,139
0617,前段,72.98,172,69.14,已回報,品保,東昇,5
2026/6/18,後段,64.52,232,66.32,,品保,東昇,30
6月8日,完成,37.56,22,23.82,,資材,力鋼,25
2026/7/20,前段,53.49,,3.92,,資材,永利,176
2026/6/4,前段,37.41,19,11.88,,品保,永利,184
2026/7/12,前段,28.99,,20.75,,營運,力鋼,221
0629,完成,90.43,,84.24,,品保,東昇,59
2026/6/3,中段,25.15,141,69.97,,研發,捷欣,191
2026/7/1,前段,77.99,15,80.58,待確認,營運,順發,96
6月2日,中段,2.68,168,13.66,已回報,資材,東昇,137
0725,完成,1.25,28,44.2,待確認,營運,力鋼,121
0727,前段,33.84,115,83.3,,品保,大宏,69
7月5日,完成,63.6,224,21.24,,製造,順發,111
0703,後段,36.39,135,14.73,,研發,捷欣,86
2026/7/11,後段,87.91,131,73.54,,製造,永利,208
0718,完成,26.15,,92.03,已回報,研發,力鋼,183
6月30日,完成,93.57,93,19.19,已回報,營運,順發,151
0601,前段,35.41,,53.4,已回報,營運,捷欣,63
0730,中段,17.96,104,47.22,,研發,順發,67
2026/6/1,前段,3.58,,86.67,,營運,永利,151
6月28日,後段,26.49,171,86.63,,製造,大宏,118
2026/6/1,完成,3.5,61,70.26,,品保,東昇,73
2026/6/10,中段,34.6,31,61.88,已回報,製造,力鋼,30
6月4日,完成,43.51,49,2.11,,品保,順發,47
6月4日,後段,41.16,,86.67,已回報,資材,捷欣,76
0717,中段,1.03,,26.25,已回報,資材,大宏,201
6月23日,前段,23.88,133,36.16,已回報,研發,大宏,19
2026/6/23,前段,44.42,96,18.01,已回報,研發,順發,16
2026/7/26,後段,82.85,,35.53,,營運,捷欣,192
0628,前段,94.78,177,86.34,,資材,永利,156
6月14日,前段,47.59,144,69.36,待確認,營運,永利,206
6月30日,中段,37.72,,69.94,待確認,研發,力鋼,234
7月23日,中段,23.47,,35.8,已回報,品保,順發,128
6月22日,前段,54.53,,13.99,,研發,永利,10
7月21日,後段,38.52,,48.49,,研發,力鋼,25
2026/7/1,中段,49.35,159,5.77,,研發,東昇,117
2026/6/9,中段,85.95,211,56.76,,品保,大宏,203
2026/7/11,後段,61.66,195,94.5,待確認,研發,永利,72
2026/6/21,前段,71.12,64,65.55,,資材,捷欣,189
6月12日,完成,66.54,124,30.23,,製造,力鋼,71
2026/6/28,前段,23.59,173,93.47,,製造,順發,52
0609,中段,46.24,140,38.25,,品保,大宏,149
2026/7/5,前段,12.11,167,63.05,,營運,力鋼,48
0730,前段,94.2,232,82.54,,資材,大宏,10
2026/6/16,後段,11.13,167,24.72,,營運,東昇,55
7月22日,中段,4.94,55,45.84,待確認,製造,大宏,38
2026/7/5,中段,19.1,104,50.93,待確認,品保,東昇,177
0726,前段,13.81,,78.36,,品保,永利,180
0722,完成,12.34,111,43.2,,品保,力鋼,200
0714,完成,41.3,,96.11,已回報,資材,東昇,212
0728,完成,51.23,109,90.81,已回報,資材,東昇,237
7月25日,完成,31.57,79,32.69,,營運,永利,90
6月7日,完成,12.33,183,43.36,,資材,大宏,60
7月28日,完成,97.18,199,53.6,,資材,捷欣,58
2026/6/17,完成,9.09,,55.72,,營運,永利,221
6月4日,後段,16.69,119,34.78,,製造,大宏,110
7月30日,前段,90.44,,67.68,,製造,力鋼,10
0614,中段,43.01,,73.9,,品保,東昇,176
0715,完成,65.84,211,64.01,,營運,東昇,163
6月19日,後段,46.27,191,89.27,,品保,捷欣,41
7月5日,後段,31.23,69,11.99,,研發,東昇,204
7月15日,中段,29.94,61,33.34,,製造,永利,24
6月20日,後段,20.72,18,47.71,,研發,捷欣,210
0617,完成,67.12,163,53.28,,品保,捷欣,217
0629,前段,10.66,,55.01,已回報,研發,力鋼,2
0623,完成,36.38,110,55.38,,營運,順發,33
6月30日,完成,2.23,189,84.4,,資材,永利,240
6月17日,完成,43.56,157,47.03,待確認,資材,東昇,141
0621,中段,83.17,89,43.95,,營運,捷欣,31
0706,前段,71.61,24,30.77,待確認,品保,大宏,109
2026/7/24,前段,26.96,123,85.83,,營運,捷欣,176
6月12日,後段,78.5,107,42.83,已回報,製造,大宏,54
2026/6/4,前段,73.94,24,43.97,已回報,製造,捷欣,122
0703,中段,92.24,,37.66,,製造,大宏,196
0608,中段,46.74,162,17.08,,製造,東昇,229
2026/6/11,前段,75.51,,51.66,,研發,順發,164
7月9日,完成,69.18,,72.3,待確認,資材,大宏,166
7月17日,後段,12.64,189,82.36,,品保,大宏,107
6月27日,前段,26.65,62,36.34,待確認,品保,捷欣,198
6月4日,後段,16.04,220,38.1,已回報,營運,大宏,52
2026/7/25,中段,25.62,145,32.54,,營運,永利,161
7月30日,完成,2.92,57,16.79,已回報,營運,東昇,64
2026/7/10,後段,72.11,138,88.92,,資材,東昇,119
0709,中段,2.57,135,29.68,,營運,順發,68
0711,完成,49.18,,29.27,已回報,品保,捷欣,40
7月21日,前段,53.2,64,75.29,,營運,東昇,48
0629,後段,47.83,116,70.64,待確認,營運,力鋼,163
6月18日,中段,29.91,194,53.08,待確認,營運,大宏,57
6月1日,後段,67.11,8,50.63,待確認,製造,大宏,62
2026/6/1,完成,55.6,,79.03,,研發,東昇,120
2026/6/27,中段,29.08,6,76.15,,研發,永利,220
2026/6/26,前段,4.86,,94.11,,研發,永利,226
2026/6/19,中段,52.34,134,65.89,待確認,研發,大宏,69
0703,後段,88.87,,58.22,已回報,品保,力鋼,129
7月27日,前段,92.71,,75.22,待確認,品保,大宏,57
0716,後段,32.57,,9.45,,品保,捷欣,47
7月26日,後段,71.83,108,36.36,,資材,力鋼,238
2026/7/6,完成,30.24,,65.1,,研發,捷欣,190
2026/7/9,前段,10.98,136,87.27,,資材,捷欣,94
2026/7/21,完成,33.9,83,12.93,,研發,捷欣,222
2026/7/11,後段,63.63,47,6.65,待確認,研發,大宏,48
2026/7/26,後段,97.76,236,11.09,,製造,順發,98
7月24日,中段,84.25,57,89.69,,營運,東昇,169
0608,後段,61.78,31,23.31,,研發,永利,170
2026/7/8,後段,41.11,131,72.26,已回報,品保,大宏,69
6月15日,完成,76.77,73,81.91,待確認,資材,力鋼,222
0611,前段,90.07,164,83.46,待確認,研發,捷欣,51
2026/7/21,前段,43.74,158,8.36,,資材,捷欣,228
2026/6/19,中段,90.21,,14.95,,營運,順發,105
2026/7/27,完成,22.31,,87.34,,製造,大宏,118
0611,完成,38.5,49,94.43,已回報,營運,捷欣,75
0721,完成,92.51,,17.09,,研發,順發,3
7月15日,前段,23.87,,60.72,已回報,製造,力鋼,62
2026/7/11,完成,47.01,71,58.39,已回報,資材,捷欣,222
0628,後段,58.86,125,83.84,,營運,東昇,48
7月29日,完成,89.04,51,39.35,,製造,永利,126
0702,前段,51.9,162,94.78,,營運,順發,180
2026/7/15,前段,52.87,49,57.33,已回報,資材,永利,159
0621,後段,0.3,219,95.27,,研發,大宏,230
0606,中段,60.74,133,90.55,已回報,資材,大宏,132
0703,中段,50.86,104,43.31,,營運,永利,205
6月14日,中段,16.06,,17.9,,營運,永利,103
0713,中段,59.19,158,76.0,,製造,順發,212
7月19日,中段,38.92,,85.19,,營運,東昇,99
0609,完成,53.98,21,43.47,,資材,捷欣,173
2026/7/7,中段,89.79,193,87.81,已回報,品保,捷欣,208
0711,前段,64.19,58,52.97,,研發,大宏,173
0724,中段,3.07,17,46.34,已回報,品保,力鋼,130
6月5日,中段,49.73,102,49.11,,品保,捷欣,48
0717,完成,47.35,,13.1,待確認,資材,順發,166
7月18日,中段,8.6,8,16.4,待確認,品保,大宏,6
6月2日,後段,93.87,57,5.57,,品保,捷欣,34
0618,中段,97.96,94,78.33,,製造,東昇,60
0728,完成,50.62,,95.41,待確認,資材,捷欣,232
6月27日,前段,33.13,118,18.64,,資材,順發,175
7月10日,後段,0.6,177,51.56,,研發,力鋼,240
2026/7/15,中段,83.34,198,22.16,,資材,順發,223
2026/6/12,後段,58.74,,10.75,待確認,資材,捷欣,48
0721,前段,45.79,88,6.7,已回報,製造,順發,80
0714,前段,22.65,180,57.78,已回報,製造,永利,104
2026/7/18,前段,29.05,2,96.14,,資材,順發,101
2026/6/29,前段,49.82,201,1.31,,資材,順發,211
6月14日,前段,0.52,,68.54,,製造,捷欣,232
7月27日,後段,28.01,152,95.29,待確認,研發,大宏,222
0611,中段,46.33,56,97.48,,營運,力鋼,76
7月21日,中段,73.82,,83.69,待確認,品保,順發,6
2026/6/8,前段,51.66,216,84.42,,製造,大宏,103
2026/6/1,完成,27.1,,18.46,,品保,順發,34
2026/7/28,完成,28.8,,64.28,,資材,順發,156
0609,前段,90.75,,87.29,,製造,捷欣,10
0606,中段,88.12,166,19.47,待確認,研發,力鋼,150
2026/7/3,完成,74.81,169,77.81,,資材,力鋼,137
2026/7/7,前段,6.06,96,37.07,,營運,捷欣,75
0614,後段,75.91,175,79.12,待確認,營運,永利,45
7月4日,中段,79.93,122,23.24,,資材,東昇,166
0703,後段,76.31,106,60.09,待確認,品保,大宏,14
2026/7/27,中段,83.77,,7.75,,資材,力鋼,166
6月10日,中段,48.03,136,25.7,已回報,營運,力鋼,137
7月29日,完成,87.77,193,14.9,,營運,東昇,117
0712,前段,23.04,56,15.34,已回報,研發,東昇,235
0718,完成,6.69,,1.74,,資材,大宏,51
2026/7/3,前段,60.87,118,88.54,,研發,東昇,29
0614,中段,73.12,,95.68,,品保,永利,239
7月14日,中段,75.5,,39.51,,研發,捷欣,225
2026/6/25,完成,78.12,164,43.99,已回報,品保,永利,89
0615,後段,60.4,181,11.15,已回報,資材,大宏,153
0610,完成,62.01,201,27.75,,資材,永利,101
6月17日,前段,69.7,,74.85,,營運,大宏,66
6月4日,中段,76.04,16,72.55,,資材,順發,183
2026/6/5,中段,45.07,235,71.45,已回報,製造,永利,6
2026/6/21,前段,42.08,106,13.01,,品保,東昇,193
7月10日,完成,71.15,177,97.48,,資材,捷欣,10
2026/7/1,前段,43.7,47,60.94,,研發,大宏,224
2026/6/19,中段,45.13,,75.54,,製造,永利,34
7月24日,前段,50.76,30,56.79,,研發,大宏,218
0721,後段,94.16,162,17.71,,營運,大宏,132
2026/7/24,完成,2.2,,85.19,已回報,研發,永利,122
