月份,項目,金額,數量,比率,來源,單位,客戶,耗時分鐘
2025-06-20,後段,4.77,10,21.55,待確認,營運,東昇,173
2025-06-17,後段,82.76,85,46.69,,製造,力鋼,33
2025-06-09,中段,82.19,29,51.05,,營運,永利,235
2025-07-15,中段,63.38,16,94.0,待確認,營運,力鋼,88
2025-06-06,前段,30.73,133,51.02,,營運,東昇,175
2025-07-25,中段,88.4,124,63.55,,資材,順發,43
2025-07-03,中段,76.81,121,24.04,,品保,順發,119
2025-07-06,中段,75.17,75,87.25,,製造,捷欣,174
2025-06-25,後段,36.7,39,14.75,,品保,永利,221
2025-06-15,中段,71.07,180,69.55,,資材,大宏,97
2025-06-28,後段,87.72,196,42.54,待確認,研發,順發,70
2025-07-24,前段,38.84,165,58.75,,研發,永利,201
2025-07-13,完成,7.32,238,65.9,,資材,東昇,203
2025-07-21,完成,90.88,156,1.86,,製造,力鋼,191
2025-06-28,後段,59.65,91,97.51,已回報,研發,永利,232
2025-07-14,完成,45.78,151,90.11,,研發,東昇,215
2025-07-20,中段,68.82,124,78.36,,研發,東昇,228
2025-07-04,前段,18.95,44,38.88,待確認,營運,力鋼,37
2025-06-21,完成,86.57,42,21.01,待確認,品保,力鋼,132
2025-07-12,完成,38.83,84,16.36,已回報,營運,捷欣,160
2025-07-29,前段,90.02,33,71.05,,品保,東昇,83
2025-07-12,完成,22.33,46,15.6,,研發,捷欣,137
2025-07-04,中段,46.01,120,72.45,,營運,東昇,34
2025-06-21,後段,45.42,73,25.28,待確認,品保,大宏,23
2025-06-16,完成,10.89,132,72.26,已回報,品保,東昇,186
2025-07-27,前段,77.42,176,69.98,,研發,永利,174
2025-07-08,前段,29.76,180,14.09,,資材,力鋼,52
2025-07-17,後段,9.04,192,1.48,,製造,大宏,88
2025-07-16,前段,26.75,167,86.38,已回報,研發,力鋼,213
2025-07-05,前段,27.56,222,46.24,,品保,東昇,104
2025-06-20,前段,56.18,174,5.15,,品保,捷欣,205
2025-06-08,後段,37.78,19,36.52,待確認,營運,捷欣,160
2025-06-22,中段,49.05,106,95.92,,品保,力鋼,238
2025-06-10,中段,25.81,87,88.38,,資材,大宏,61
2025-06-27,前段,31.83,211,19.68,,研發,永利,234
